"","min_temp"
"101",-4.48605003833769
"102",-4.95780716419218
"103",-5.85797906398771
"104",-5.73414335727689
"105",-5.6279822039604
"106",-5.62112236499784
"201",-5.44331126689909
"202",-5.2999040174484
"203",-6.21652091026304
"204",-5.52171981811521
"205",-5.17594203233717
"206",-5.8997746157646
"207",-3.86485263586042
"301",-2.98989792942999
"302",-3.06160597085951
"303",2.03526706218722
"304",-0.176840602159478
"305",0.242717654705069
"401",-6.33705003738401
"402",-3.94824268102644
"403",1.2140574705601
"404",-3.92853560924528
"405",-0.907456940710524
"406",-3.68818597078321
"407",0.896566869020484
"408",2.8984123182297
"501",-5.01676149845121
"502",-7.25211055755613
"503",-7.8825902032852
"504",-8.91390948772428
"505",-6.59230413913725
"506",-5.83515215396879
"601",-0.980065837800482
"602",-1.52874311089514
"603",-1.65965213656423
"604",-1.70185466289518
"605",-2.55448295354841
"606",-1.58342774987219
"607",-1.6997644472122
"608",-1.94662693619726
"609",-0.715790134966352
"610",-1.3455650436878
"611",-1.93487728118894
"612",-1.98279785394666
"801",-10.8388488578796
"803",-2.49409652233122
"806",-5.04369075775144
"807",-5.20315399646757
"811",-0.980834730267503
"813",-0.250701438188532
"814",-8.55824537754057
"817",0.013586635589621
"821",-0.733432999551275
"824",-5.52442332983015
"834",-2.50043969631193
"840",-2.7656313228607
"841",-2.93544570684431
"901",-6.3008345890045
"902",-6.76535115718839
"903",-8.91051500320433
"904",-5.62871910810468
"905",-6.21248233795164
"906",-6.12360120296476
"907",-7.50319231033323
"908",-6.95912914752958
"1001",-1.69043203473089
"1002",-2.40987672090528
"1003",-1.62750177413223
"1004",-1.58830692052839
"1005",-2.31536171913145
"1006",-2.40130950689314
"1007",-4.84150660514829
"1008",-3.13403740406034
"1009",-3.93633356571195
"1010",-2.31349843025205
"1101",0.961255074739477
"1102",3.56774625301363
"1103",-0.46326295018194
"1104",2.66448516368868
"1105",3.51317442178728
"1201",-6.06788740634916
"1202",-3.23394799709318
"1203",-2.7551330912113
"1204",-3.66354495763776
"1205",-1.27059366285799
"1206",0.0395609524846289
"1207",-3.32535297155378
"1301",-3.46739880323408
"1302",-3.51645271062849
"1303",-4.18956968069074
"1304",-2.61069555759428
"1305",-3.23231125354765
"1306",-4.7295416164398
"1401",-2.23067396759985
"1402",-1.6499533075094
"1403",-1.57501638412473
"1404",-1.2862640070915
"1405",-2.09195359230039
"1406",-3.18109212398527
"1501",0.467398930788061
"1502",-0.867169770896413
"1503",-2.86099435567854
"1601",-5.62132299423216
"1602",-8.86893699645995
"1603",-6.59131515502927
"1604",-6.72630112648008
"1605",-5.23216283798216
"1606",-4.9836666035652
"1607",-5.11424899578092
"1702",-1.48462921522556
"1710",0.7383018922806
"1715",-13.187265663147
"1719",-5.56527612686155
"1720",-2.64224794983862
"1724",-5.53465197563169
"1728",-3.51001786470411
"1731",-10.2472066688537
"1734",-3.27140627384184
"1801",-4.1554604578018
"1802",-5.98830044746397
"1803",-5.00578594684599
"1804",-6.51519904613493
"1805",-5.05956776618955
"1806",-3.69136999130247
"1807",-3.47150857925413
"1808",1.71810110330584
"1809",-4.40427852153776
"1810",-3.73689717531202
"1901",-4.79140727996824
"1902",-6.94604487895963
"1903",-6.14898298263548
"1904",-7.99885695457456
"1905",-6.41843991756437
"2001",-2.87332310706375
"2002",-1.79320524960754
"2003",-4.2306464242935
"2004",-1.73341196432708
"2005",-4.66681828975675
"2006",-3.91556816577909
"2007",-2.85364552021024
"2101",-0.954716317653635
"2102",1.13449559330942
"2103",0.170395277142547
"2104",2.82455770492556
"2105",0.857485837936423
"2106",2.35423457145693
"2201",-9.9743380832672
"2202",-12.3376864242554
"2203",-9.70599420547484
"2204",-4.980764131546
"2205",-5.80213127613065
"2206",-3.71437975645063
"2207",-4.30616689205167
"2208",-3.16128681182859
"2301",-3.0251092302799
"2302",-3.62028303623197
"2303",-6.38540704727171
"2304",-2.50983729839323
"2305",-3.38592358112333
"2306",-3.17815987348554
"2307",-4.32417493343351
"2308",-4.63579669475553
"2309",-4.52314923286436
"2401",-6.18088269710539
"2402",-8.96438668251036
"2403",-8.90246623039243
"2404",-6.37737246036528
"2405",-5.98576715469358
"2406",-6.66179898262021
"2407",-4.98242481231688
"2408",-5.17149155616758
"2409",-5.21706469535826
"2410",-5.80534801959989
"2503",-13.4540451335907
"2504",-8.07158395528791
"2505",-15.0303142356872
"2510",-5.27730460643766
"2514",-12.687923412323
"2515",-13.2788350391388
"2518",-4.38792908668516
"2523",-4.64008987426756
"2525",-8.65890429496764
"2526",-14.489038734436
"2527",-4.36823788166044
"2532",-5.47546270370482
"2533",-3.56830825090406
"2535",-7.23652918815611
"2538",-4.81249785900114
"2539",-16.130551700592
"2601",-6.8460489797592
"2602",-9.54702866554259
"2603",-5.52004950523375
"2604",-9.35367305755613
"2605",-4.3384514737129
"2606",-6.89674835681914
"2701",-0.811853091716745
"2702",-3.04766940355299
"2703",-4.56384537696836
"2704",-6.11078606128691
"2705",-4.70466206550596
"2801",-6.97482667446135
"2802",-6.17745240211485
"2803",-4.14454490423201
"2804",-4.49060261726377
"2805",-4.07262336492536
"2806",-3.8620620536804
"2901",-1.8157343137264
"2902",-0.962470297813394
"2903",1.13117294430735
"2904",1.50455848097803
"3001",-3.65497447729109
"3002",-5.65531138658522
"3003",-3.34520608663557
"3004",-1.88463771522043
"3005",-1.67888308495281
"3006",2.24015658617022
"3101",-4.77765312671659
"3102",-7.1626686620712
"3103",-5.81634104728697
"3104",-5.09789523363111
"3105",-4.61203172683714
"3106",-3.89308151483534
"3107",-3.54456872224806
"3201",-4.51627383708952
"3202",-5.39782505512235
"3203",-4.43040495395658
"3301",-4.40617912292479
"3302",-2.09130467951296
"3303",-7.02496271610258
"3304",-3.55866400480268
"3305",-8.9155847597122
"3306",-0.284517805576303
"3307",-4.06921934366224
"3308",-9.14853682994841
"3309",-1.60674734052268
"3310",-5.07474854469297
"3401",-5.43288357734678
"3402",-5.38425491333006
"3403",-6.48163922309873
"3404",-7.08219111442564
"3405",-9.57904356002806
"3406",-9.57466800689696
"3407",-8.32960837364195
"3601",-3.82374464750288
"3602",-0.720426176786401
"3603",-3.5842945384979
"3604",-2.38785108208654
"3701",-3.65806463241575
"3702",-3.93128595829008
"3703",-5.03227115154264
"3704",-5.62419679641722
"3705",-4.5934178638458
"3706",-6.03394408702848
"3707",-3.82819450378416
"3708",-5.2123875904083
"3901",-0.943495013117769
"3902",-8.53831260681151
"3903",-6.76793616294858
"3904",-5.40589652538298
"3905",-4.36468909263609
"3906",-7.9561152744293
"4001",-5.31320896625517
"4002",-6.83235371589659
"4003",-7.40938189506529
"4101",-0.486109892576912
"4102",0.288682608008406
"4103",0.105270735621474
"4104",1.31291351437571
"4105",0.0125981551408982
"4106",-0.495277318656423
"4107",-1.36918413519857
"4201",-9.57314985275267
"4202",-9.27969611167906
"4203",-6.84813647747038
"4204",-7.83362412929533
"4205",-6.97133582115172
"4206",-6.45383308410643
"4207",-6.77681413173674
"4301",-3.68422219038008
"4308",-2.11575229942796
"4309",-1.11681938052175
"4312",-1.8683922934532
"4316",-5.25370195388792
"4322",-0.73588023662565
"4329",-3.60687611579893
"4330",-2.61557008504865
"4336",-0.975883497223236
"4337",-3.33398616790769
"4401",-7.53981516838072
"4402",-7.0584995794296
"4403",-3.79478509902952
"4404",-9.4173288631439
"4405",-7.67475693702696
"4406",-7.92354953765867
"4501",-3.17225747585295
"4502",-3.78549925565717
"4503",-3.93537159442899
"4504",-3.68539836883543
"4505",-4.23191133022306
"4506",-4.58000126361845
"4507",-4.40279956340788
"4601",-7.60918109893797
"4602",-5.04155958175657
"4603",-1.80381980419157
"4604",-5.00674006223677
"4605",-3.52449261426924
"4606",0.0563742589950778
"4607",0.408135647773764
"4608",-1.53094128381459
"4609",0.470843477249167
"4610",-5.67750070571898
"4611",-4.57004478454588
"4612",-3.91511221408842
"4613",-3.10413944005964
"4701",-5.34943376064298
"4702",-5.08390520095823
"4703",-4.75980339527128
"4704",-5.14042149066923
"4801",-2.18169790089128
"4802",-0.3974850836396
"4803",-3.08635640621183
"4804",-2.82583427309988
"4805",0.764891011714957
"4806",-0.54313303709028
"4807",1.71876511096956
"4901",-5.57369373321531
"4902",-4.41713483810423
"4903",-4.26266408443449
"4904",-4.70684442996977
"4905",-3.75128356695173
"4906",-4.83127270221708
"5001",-4.54847691535948
"5002",-4.5159919786453
"5003",-5.81823194503782
"5004",-4.3008365678787
"5005",-3.3857886123657
"5006",-6.17193608760832
"5007",-2.43402904152868
